ID Jogador,Data FTD,Data Criação,Valor FTD (R$),UTM Source,Total Depósitos (R$),Qtd Depósitos,Total Saques (R$),Qtd Saques,NET Deposits (R$),GGR Cassino (R$),GGR Sports (R$),GGR Total (R$),Qtd Apostas Cassino,Qtd Apostas Sports,Volume Cassino (R$),Volume Sportsbook (R$),Win Cassino (R$),Win Sportsbook (R$),Saldo Carteira (R$),Top Games
29407374,14/09/2025,14/09/2025,"950,00",-,"7.730,00",4,"13.644,16",9,"-5.914,16","34,24","-5.948,40","-5.914,16",138,31,"93,60","21.804,00","59,36","27.752,40","0,00","Fortune Dragon, Fortune Tiger, Gates of Olympus Super Scatter"
28217329,27/03/2025,27/03/2025,"3.500,00",85326,"10.500,00",2,"3.450,00",1,"7.050,00","0,00","-13.999,35","-13.999,35",0,66,"0,00","53.822,57","0,00","67.821,92","21.049,35",-
28255744,30/03/2025,30/03/2025,"20,00",132251,"12.405,00",16,"20.498,90",5,"-8.093,90","0,00","-8.094,21","-8.094,21",0,63,"0,00","31.255,00","0,00","39.349,21","0,31",-
28078408,19/02/2025,18/02/2025,"10,00",91391,"13.180,00",26,"23.430,00",8,"-10.250,00","-266,31","-37.877,79","-38.144,10",726,630,"353,09","103.578,24","619,40","141.456,03","27.904,10","Master Joker, Fortune Rabbit, Gates of Olympus, Fortune Ox, Tigre Sortudo"
28698400,15/08/2025,10/06/2025,"941,00",447212,"13.393,00",7,"18.744,31",6,"-5.351,31","-21,40","-5.329,91","-5.351,31",148,23,"1,00","23.730,00","22,40","29.059,91","0,00","Big Bass Bonanza, Gates of Olympus, Zeus vs Hades - Gods of War, Fortune Tiger, Fortune Dragon"
28081789,19/02/2025,19/02/2025,"20,00",340733,"13.650,00",168,"20.959,00",16,"-7.309,00","-1.286,83","-12.519,38","-13.806,21",3502,262,"281,45","26.122,35","1.568,28","38.641,73","0,00","Gates of Olympus, Tigre Sortudo, Shaolin Soccer, Master Joker, O Vira Lata Caramelo"
28422764,28/04/2025,27/04/2025,"7.800,00",426223,"16.834,00",5,"22.430,00",9,"-5.596,00","-23,26","-19.230,92","-19.254,18",180,294,"0,00","222.077,85","23,26","241.308,77","13.658,18",-
29193987,15/10/2025,21/08/2025,"5.000,00",132251,"17.000,00",5,"15.043,27",7,"1.956,73","179,44","1.777,29","1.956,73",200,31,"791,60","20.477,23","612,16","18.699,94","3,58","Joker's Jewels, Fortune Ox, Starlight Princess 1000, Fortune Tiger, Sweet Bonanza 1000"
29108614,17/08/2025,16/08/2025,"500,00",460786,"21.000,00",6,"90.106,30",8,"-69.106,30","0,00","-69.106,30","-69.106,30",0,469,"0,00","244.981,71","0,00","314.088,01","0,00",-
28140866,09/03/2025,06/03/2025,"15,00",-,"27.307,50",52,"31.432,18",25,"-4.124,68","-1.732,75","-2.596,73","-4.329,48",457,288,"1.131,20","56.390,87","2.863,95","58.987,60","205,47","Le Zeus, Tigre Sortudo, Fortune Dragon, Fortune Tiger, Starlight Princess"
28260755,31/03/2025,31/03/2025,"30,00",447220,"29.323,00",9,"73.855,29",9,"-44.532,29","0,00","-56.647,99","-56.647,99",0,452,"0,00","403.943,28","0,00","460.591,27","12.115,70",-
29373135,09/09/2025,08/09/2025,"500,00",-,"32.200,00",24,"19.976,00",4,"12.224,00","0,00","12.221,28","12.221,28",0,206,"0,00","130.284,00","0,00","118.062,72","2,72",-
28740363,19/06/2025,19/06/2025,"3.000,00",-,"33.100,00",9,"40.498,00",9,"-7.398,00","0,00","-17.363,60","-17.363,60",0,47,"0,00","76.420,00","0,00","93.783,60","9.965,60",-
28372509,03/05/2025,18/04/2025,"382,00",340733,"38.927,00",58,"65.305,49",21,"-26.378,49","-26,84","-60.929,15","-60.955,99",2138,230,"936,70","202.743,22","963,54","263.672,37","34.577,50","Tigre Sortudo, Big Bass Bonanza, Sweet Bonanza 1000, Master Joker, Gates of Olympus"
